token_type,percent,val_iou_0,val_boundary_iou_0,total_time,val_iou_1,val_boundary_iou_1
low,50,0.656607276985937,0.5609438226181775,213.956371,0.893967442587018,0.7967806729887214
low,60,0.6359059120904892,0.543077707005308,214.962495,0.889820408714669,0.7922005353229387
low,70,0.6148076198678067,0.5243322181416319,215.716425,0.8798065957214151,0.7738708211375135
low,80,0.5981670853146848,0.5083808986073796,217.796195,0.871563226676413,0.7594554580215896
low,100,0.6135900130257644,0.5243698878530809,217.373749,0.8885756396821567,0.78134190573224
high,50,0.7227753164603355,0.6320998175030059,213.756157,0.9296262497348445,0.8581230876701219
high,60,0.7020000214113834,0.6115775322184918,213.932251,0.9226506111877305,0.8442970378058298
high,70,0.6793441406748396,0.5866079118340574,214.822208,0.9155306491468634,0.8316594563424587
high,80,0.6584817895626134,0.566315953504849,215.726318,0.910597903494324,0.8212975720209735
high,100,0.6135900130257644,0.5243698878530809,217.705417,0.8885756396821567,0.78134190573224
