sequence    ,obj,  J&F,    J,    F
Global score,   , 100.0, 100.0, 100.0
sav_000208  ,000, 100.0, 100.0, 100.0
sav_000208  ,001, 100.0, 100.0, 100.0
sav_000425  ,000, 100.0, 100.0, 100.0
sav_000425  ,001, 100.0, 100.0, 100.0
sav_000818  ,000, 100.0, 100.0, 100.0
sav_001148  ,000, 100.0, 100.0, 100.0
sav_001379  ,000, 100.0, 100.0, 100.0
sav_001379  ,001, 100.0, 100.0, 100.0
sav_002636  ,000, 100.0, 100.0, 100.0
sav_002789  ,000, 100.0, 100.0, 100.0
sav_002789  ,001, 100.0, 100.0, 100.0
sav_003191  ,000, 100.0, 100.0, 100.0
sav_003191  ,001, 100.0, 100.0, 100.0
sav_003418  ,000, 100.0, 100.0, 100.0
sav_003419  ,000, 100.0, 100.0, 100.0
sav_003798  ,000, 100.0, 100.0, 100.0
sav_003798  ,001, 100.0, 100.0, 100.0
sav_004381  ,000, 100.0, 100.0, 100.0
sav_004507  ,000, 100.0, 100.0, 100.0
sav_004507  ,001, 100.0, 100.0, 100.0
sav_004550  ,000, 100.0, 100.0, 100.0
sav_004550  ,001, 100.0, 100.0, 100.0
sav_004755  ,000, 100.0, 100.0, 100.0
sav_004755  ,001, 100.0, 100.0, 100.0
sav_006301  ,000, 100.0, 100.0, 100.0
sav_007311  ,000, 100.0, 100.0, 100.0
sav_007311  ,001, 100.0, 100.0, 100.0
sav_007543  ,000, 100.0, 100.0, 100.0
sav_007943  ,000, 100.0, 100.0, 100.0
sav_007943  ,001, 100.0, 100.0, 100.0
sav_007943  ,002, 100.0, 100.0, 100.0
sav_007943  ,003, 100.0, 100.0, 100.0
sav_007943  ,004, 100.0, 100.0, 100.0
sav_008286  ,000, 100.0, 100.0, 100.0
sav_008860  ,000, 100.0, 100.0, 100.0
sav_008860  ,001, 100.0, 100.0, 100.0
sav_008860  ,002, 100.0, 100.0, 100.0
sav_008977  ,000, 100.0, 100.0, 100.0
sav_008977  ,001, 100.0, 100.0, 100.0
sav_009146  ,000, 100.0, 100.0, 100.0
sav_009146  ,001, 100.0, 100.0, 100.0
sav_009307  ,000, 100.0, 100.0, 100.0
sav_009307  ,001, 100.0, 100.0, 100.0
sav_009307  ,002, 100.0, 100.0, 100.0
sav_009687  ,000, 100.0, 100.0, 100.0
sav_009687  ,001, 100.0, 100.0, 100.0
sav_010164  ,000, 100.0, 100.0, 100.0
sav_010280  ,000, 100.0, 100.0, 100.0
sav_010681  ,000, 100.0, 100.0, 100.0
sav_010923  ,000, 100.0, 100.0, 100.0
sav_010923  ,001, 100.0, 100.0, 100.0
sav_010923  ,002, 100.0, 100.0, 100.0
sav_010923  ,003, 100.0, 100.0, 100.0
sav_010931  ,000, 100.0, 100.0, 100.0
sav_011282  ,000, 100.0, 100.0, 100.0
sav_011282  ,001, 100.0, 100.0, 100.0
sav_011742  ,000, 100.0, 100.0, 100.0
sav_011754  ,000, 100.0, 100.0, 100.0
sav_011754  ,001, 100.0, 100.0, 100.0
sav_011787  ,000, 100.0, 100.0, 100.0
sav_011787  ,001, 100.0, 100.0, 100.0
sav_012344  ,000, 100.0, 100.0, 100.0
sav_012344  ,001, 100.0, 100.0, 100.0
sav_012593  ,000, 100.0, 100.0, 100.0
sav_013074  ,000, 100.0, 100.0, 100.0
sav_013124  ,000, 100.0, 100.0, 100.0
sav_013624  ,000, 100.0, 100.0, 100.0
sav_013624  ,001, 100.0, 100.0, 100.0
sav_013624  ,002, 100.0, 100.0, 100.0
sav_013624  ,003, 100.0, 100.0, 100.0
sav_013624  ,004, 100.0, 100.0, 100.0
sav_015027  ,000, 100.0, 100.0, 100.0
sav_015587  ,000, 100.0, 100.0, 100.0
sav_015763  ,000, 100.0, 100.0, 100.0
sav_016333  ,000, 100.0, 100.0, 100.0
sav_016333  ,001, 100.0, 100.0, 100.0
sav_016568  ,000, 100.0, 100.0, 100.0
sav_016568  ,001, 100.0, 100.0, 100.0
sav_016568  ,002, 100.0, 100.0, 100.0
sav_017171  ,000, 100.0, 100.0, 100.0
sav_017171  ,001, 100.0, 100.0, 100.0
sav_017171  ,002, 100.0, 100.0, 100.0
sav_017694  ,000, 100.0, 100.0, 100.0
sav_018048  ,000, 100.0, 100.0, 100.0
sav_018048  ,001, 100.0, 100.0, 100.0
sav_020515  ,000, 100.0, 100.0, 100.0
sav_020688  ,000, 100.0, 100.0, 100.0
sav_020688  ,001, 100.0, 100.0, 100.0
sav_020844  ,000, 100.0, 100.0, 100.0
sav_021093  ,000, 100.0, 100.0, 100.0
sav_021407  ,000, 100.0, 100.0, 100.0
sav_021407  ,001, 100.0, 100.0, 100.0
sav_021407  ,002, 100.0, 100.0, 100.0
sav_021407  ,003, 100.0, 100.0, 100.0
sav_021407  ,004, 100.0, 100.0, 100.0
sav_021623  ,000, 100.0, 100.0, 100.0
sav_021623  ,001, 100.0, 100.0, 100.0
sav_022374  ,000, 100.0, 100.0, 100.0
sav_022374  ,001, 100.0, 100.0, 100.0
sav_022374  ,002, 100.0, 100.0, 100.0
sav_022663  ,000, 100.0, 100.0, 100.0
sav_023013  ,000, 100.0, 100.0, 100.0
sav_023013  ,001, 100.0, 100.0, 100.0
sav_023742  ,000, 100.0, 100.0, 100.0
sav_023860  ,000, 100.0, 100.0, 100.0
sav_023860  ,001, 100.0, 100.0, 100.0
